"0005"!#""!#"0005__15038"!#"2"!#"3"!#"TRANCHE 2 - 76 LOTS"!#"TRANCHE 2 - 76 LOTS - COLLEC/INT"!#"04"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201404"!#"0"!#"0"!#"201206"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15038"!#"5"!#"3"!#"TRANCHE 5 - 14 LOTS - INT"!#"TRANCHE 5 - 14 LOTS - INT"!#"04"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"201501"!#"0"!#"0"!#"201210"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15118"!#"4"!#"2"!#"3 LOTS SUPP COLL ACC"!#"3 LOTS SUPP COLL ACCESS"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202202"!#"0"!#"0"!#"201909"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15151"!#"4"!#"2"!#"NOUVEL AIR"!#"BAT 4 ACC 30"!#"20"!#"6"!#"5086000,00"!#"1656,00"!#"0"!#"0"!#"0"!#"202301"!#"0"!#"0"!#"202010"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15182"!#"1"!#"3"!#"NOUVELLE ÈRE"!#"MAISONS"!#"24"!#"2"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202302"!#"0"!#"0"!#"201806"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15182"!#"3"!#"3"!#"NOUVELLE ÈRE"!#"INTERMEDIAIRE"!#"24"!#"2"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202302"!#"0"!#"0"!#"201806"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15182"!#"4"!#"3"!#"NOUVELLE ÈRE"!#"COLLECTIF 26"!#"24"!#"24"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202302"!#"0"!#"0"!#"201911"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15184"!#"3"!#"1"!#"AQUARELLE"!#"9 MAISONS INDIVIDUELLES"!#"24"!#"1"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202204"!#"0"!#"0"!#"201809"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15243"!#"5"!#"2"!#"LOT C"!#"COLLECTIF ACCESSION LOT C"!#"24"!#"7"!#",00"!#",00"!#"0"!#"0"!#"0"!#"202402"!#"0"!#"0"!#"202010"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15243"!#"8"!#"2"!#"ACCESSION LOT E"!#"COLLECTIF ACCESSION LOT E"!#"24"!#"8"!#"3845000,00"!#"1111,00"!#"0"!#"0"!#"0"!#"202402"!#"0"!#"0"!#"202103"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
"0005"!#""!#"0005__15252"!#"4"!#"1"!#"ACC MI"!#"ACC MI"!#"24"!#"5"!#",00"!#",00"!#"0"!#"0"!#"0"!#"0"!#"0"!#"0"!#"202110"!#"0"!#"O"!#"01"!#"N"!#"0"!#""!#""!#""!#""!#""!#""
